artist,artist_genre_scrape,artist_lyric_scape,collaboration,song,song_genre_scrape,song_lyric_scrape,year
Drake Featuring The Throne,drake,drake,1,Pop Style,pop+style,popstyle,2016
Adele,adele,adele,0,When We Were Young,when+we+were+young,whenwewereyoung,2016
Daya,daya,daya,0,Hide Away,hide+away,hideaway,2016
Major Lazer & DJ Snake Featuring MO,major+lazer,majorlazer,1,Lean On,lean+on,leanon,2016
Shawn Mendes & Camila Cabello,shawn+mendes,shawnmendes,1,I Know What You Did Last Summer,i+know+what+you+did+last+summer,iknowwhatyoudidlastsummer,2016
Silento,silento,silento,0,Watch Me,watch+me,watchme,2016
Chris Brown,chris+brown,chrisbrown,0,Back To Sleep,back+to+sleep,backtosleep,2016
Usher Featuring Young Thug,usher,usher,1,No Limit,no+limit,nolimit,2016
O.T. Genasis Featuring Young Dolph,o.t.+genasis,o.t.genasis,1,Cut It,cut+it,cutit,2016
Kevin Gates,kevin+gates,kevingates,0,Really Really,really+really,reallyreally,2016
Fifth Harmony Featuring Fetty Wap,fifth+harmony,fifthharmony,1,All In My Head (Flex),all+in+my+head+(flex),allinmyhead(flex),2016
Hailee Steinfeld & Grey Featuring Zedd,hailee+steinfeld,haileesteinfeld,1,Starving,starving,starving,2016
Coldplay,coldplay,coldplay,0,Adventure Of A Lifetime,adventure+of+a+lifetime,adventureofalifetime,2016
Tim McGraw,tim+mcgraw,timmcgraw,0,Humble And Kind,humble+and+kind,humbleandkind,2016
Future,future,future,0,Wicked,wicked,wicked,2016
Desiigner,desiigner,desiigner,0,Tiimmy Turner,tiimmy+turner,tiimmyturner,2016
Wiz Khalifa Featuring Charlie Puth,wiz+khalifa,wizkhalifa,1,See You Again,see+you+again,seeyouagain,2016
One Direction,one+direction,onedirection,0,Perfect,perfect,perfect,2016
Mark Ronson Featuring Bruno Mars,mark+ronson,markronson,1,Uptown Funk!,uptown+funk!,uptownfunk!,2015
Ed Sheeran,ed+sheeran,edsheeran,0,Thinking Out Loud,thinking+out+loud,thinkingoutloud,2015
Wiz Khalifa Featuring Charlie Puth,wiz+khalifa,wizkhalifa,1,See You Again,see+you+again,seeyouagain,2015
Fetty Wap,fetty+wap,fettywap,0,Trap Queen,trap+queen,trapqueen,2015
Maroon 5,maroon+5,maroon5,0,Sugar,sugar,sugar,2015
WALK THE MOON,walk+the+moon,walkthemoon,0,Shut Up And Dance,shut+up+and+dance,shutupanddance,2015
Taylor Swift,taylor+swift,taylorswift,0,Blank Space,blank+space,blankspace,2015
Silento,silento,silento,0,Watch Me,watch+me,watchme,2015
The Weeknd,the+weeknd,theweeknd,0,Earned It (Fifty Shades Of Grey),earned+it+(fifty+shades+of+grey),earnedit(fiftyshadesofgrey),2015
The Weeknd,the+weeknd,theweeknd,0,The Hills,the+hills,thehills,2015
OMI,omi,omi,0,Cheerleader,cheerleader,cheerleader,2015
The Weeknd,the+weeknd,theweeknd,0,Can't Feel My Face,can't+feel+my+face,can'tfeelmyface,2015
Ellie Goulding,ellie+goulding,elliegoulding,0,Love Me Like You Do,love+me+like+you+do,lovemelikeyoudo,2015
Hozier,hozier,hozier,0,Take Me To Church,take+me+to+church,takemetochurch,2015
Taylor Swift Featuring Kendrick Lamar,taylor+swift,taylorswift,1,Bad Blood,bad+blood,badblood,2015
Major Lazer & DJ Snake Featuring MO,major+lazer,majorlazer,1,Lean On,lean+on,leanon,2015
Jason Derulo,jason+derulo,jasonderulo,0,Want To Want Me,want+to+want+me,wanttowantme,2015
Taylor Swift,taylor+swift,taylorswift,0,Shake It Off,shake+it+off,shakeitoff,2015
Skrillex & Diplo With Justin Bieber,skrillex,skrillex,1,Where Are U Now,where+are+u+now,whereareunow,2015
Rachel Platten,rachel+platten,rachelplatten,0,Fight Song,fight+song,fightsong,2015
Fetty Wap Featuring Remy Boyz,fetty+wap,fettywap,1,679,679,679,2015
Meghan Trainor,meghan+trainor,meghantrainor,0,Lips Are Movin,lips+are+movin,lipsaremovin,2015
Fifth Harmony Featuring Kid Ink,fifth+harmony,fifthharmony,1,Worth It,worth+it,worthit,2015
Omarion Featuring Chris Brown & Jhene Aiko,omarion,omarion,1,Post To Be,post+to+be,posttobe,2015
Andy Grammer,andy+grammer,andygrammer,0,"Honey, I'm Good.","honey,+i'm+good.","honey,i'mgood.",2015
Sam Smith,sam+smith,samsmith,0,I'm Not The Only One,i'm+not+the+only+one,i'mnottheonlyone,2015
Selena Gomez Featuring A$AP Rocky,selena+gomez,selenagomez,1,Good For You,good+for+you,goodforyou,2015
Meghan Trainor,meghan+trainor,meghantrainor,0,All About That Bass,all+about+that+bass,allaboutthatbass,2015
Taylor Swift,taylor+swift,taylorswift,0,Style,style,style,2015
Drake,drake,drake,0,Hotline Bling,hotline+bling,hotlinebling,2015
"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",david+guetta,davidguetta,1,Hey Mama,hey+mama,heymama,2015
Flo Rida Featuring Sage The Gemini & Lookas,flo+rida,florida,1,G.D.F.R.,g.d.f.r.,g.d.f.r.,2015
Justin Bieber,justin+bieber,justinbieber,0,What Do You Mean?,what+do+you+mean?,whatdoyoumean?,2015
Ed Sheeran,ed+sheeran,edsheeran,0,Photograph,photograph,photograph,2015
Adele,adele,adele,0,Hello,hello,hello,2015
Shawn Mendes,shawn+mendes,shawnmendes,0,Stitches,stitches,stitches,2015
Tove Lo,tove+lo,tovelo,0,Talking Body,talking+body,talkingbody,2015
Nick Jonas,nick+jonas,nickjonas,0,Jealous,jealous,jealous,2015
Pitbull & Ne-Yo,pitbull,pitbull,1,Time Of Our Lives,time+of+our+lives,timeofourlives,2015
R. City Featuring Adam Levine,r.+city,r.city,1,Locked Away,locked+away,lockedaway,2015
Natalie La Rose Featuring Jeremih,natalie+la+rose,natalielarose,1,Somebody,somebody,somebody,2015
Rihanna & Kanye West & Paul McCartney,rihanna,rihanna,1,FourFiveSeconds,fourfiveseconds,fourfiveseconds,2015
Fall Out Boy,fall+out+boy,falloutboy,0,Centuries,centuries,centuries,2015
Fetty Wap Featuring Monty,fetty+wap,fettywap,1,My Way,my+way,myway,2015
Sam Hunt,sam+hunt,samhunt,0,Take Your Time,take+your+time,takeyourtime,2015
Maroon 5,maroon+5,maroon5,0,Animals,animals,animals,2015
Big Sean Featuring E-40,big+sean,bigsean,1,I Don't F**k With You,i+don't+f**k+with+you,idon'tf**kwithyou,2015
Rihanna,rihanna,rihanna,0,B**** Better Have My Money,b****+better+have+my+money,b****betterhavemymoney,2015
Rich Homie Quan,rich+homie+quan,richhomiequan,0,Flex (Ooh Ooh Ooh),flex+(ooh+ooh+ooh),flex(oohoohooh),2015
T-Wayne,t-wayne,t-wayne,0,Nasty Freestyle,nasty+freestyle,nastyfreestyle,2015
